tag bare_t10_fine
elements       27648.
nodes      134025.
symmetry_nodes        1362.
mode f_Hz
  1.     0.128798092525E-02
  2.     0.333212045046E-02
  3.     0.452977621142E-02
  4.     0.352122773867E+02
  5.     0.578152300632E+02
  6.     0.839522861062E+02
  7.     0.135297953888E+03
  8.     0.147453515351E+03
  9.     0.226005426796E+03
 10.     0.232727840751E+03
 11.     0.270436663476E+03
 12.     0.319378091803E+03
 13.     0.355655843278E+03
 14.     0.381765749547E+03
 15.     0.427322219231E+03
 16.     0.495069656605E+03
 17.     0.549621389770E+03
 18.     0.550815264164E+03
 19.     0.650850405320E+03
 20.     0.655248444119E+03
 21.     0.686084179921E+03
 22.     0.743754816920E+03
 23.     0.760274004151E+03
 24.     0.823331815614E+03
