tag bare_t20_coarse
elements        3456.
nodes       19781.
symmetry_nodes         394.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.000000000000E+00
  3.     0.115804271619E-02
  4.     0.702477044753E+02
  5.     0.115495914490E+03
  6.     0.167348861549E+03
  7.     0.269142190233E+03
  8.     0.293449980954E+03
  9.     0.448916994231E+03
 10.     0.462668372057E+03
 11.     0.537970469860E+03
 12.     0.633022305671E+03
 13.     0.704881523963E+03
 14.     0.753510225848E+03
 15.     0.844956927112E+03
 16.     0.978130141903E+03
 17.     0.108394564549E+04
 18.     0.108807188654E+04
 19.     0.128153454039E+04
 20.     0.129330311355E+04
 21.     0.134923726351E+04
 22.     0.146348466905E+04
 23.     0.148965289018E+04
 24.     0.161522177852E+04
