tag bare_t5_xfine
elements      221184.
nodes      977681.
symmetry_nodes        5026.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.672835597424E-02
  3.     0.168299232856E-01
  4.     0.176258133861E+02
  5.     0.289160937165E+02
  6.     0.420295376792E+02
  7.     0.677834786238E+02
  8.     0.738585161715E+02
  9.     0.113270768971E+03
 10.     0.116576102143E+03
 11.     0.135403375246E+03
 12.     0.160169383906E+03
 13.     0.178320571174E+03
 14.     0.191796726016E+03
 15.     0.214451582708E+03
 16.     0.248440888077E+03
 17.     0.276033951074E+03
 18.     0.276340557016E+03
 19.     0.326934275509E+03
 20.     0.328742516098E+03
 21.     0.344848253021E+03
 22.     0.373541405631E+03
 23.     0.382730552324E+03
 24.     0.414006956376E+03
