tag h112_e0_coarse
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.285837668907E-03
  2.     0.184701826207E-02
  3.     0.212336463522E-02
  4.     0.723574853877E+02
  5.     0.118813081210E+03
  6.     0.172318248718E+03
  7.     0.276686982153E+03
  8.     0.302015674020E+03
  9.     0.461775144658E+03
 10.     0.475504941369E+03
 11.     0.552958244506E+03
 12.     0.650782864801E+03
 13.     0.724046090311E+03
 14.     0.773570560982E+03
 15.     0.868132653965E+03
 16.     0.100409597032E+04
 17.     0.111294771340E+04
 18.     0.111664699790E+04
 19.     0.131461680851E+04
 20.     0.132664227961E+04
 21.     0.138437245988E+04
 22.     0.150061622496E+04
 23.     0.152654933551E+04
 24.     0.159255173774E+04
