tag h112_oc_fine
elements       46080.
nodes      206401.
symmetry_nodes        2114.
interface_nodes       35298.
outer_nodes       35298.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.000000000000E+00
  3.     0.000000000000E+00
  4.     0.723441805225E+02
  5.     0.119143521526E+03
  6.     0.172287417661E+03
  7.     0.276621761249E+03
  8.     0.301940136952E+03
  9.     0.461618226631E+03
 10.     0.475443943054E+03
 11.     0.553621562215E+03
 12.     0.650494934518E+03
 13.     0.723902238693E+03
 14.     0.773133220689E+03
 15.     0.867647395883E+03
 16.     0.100385030489E+04
 17.     0.111217896539E+04
 18.     0.111640001668E+04
 19.     0.131421990573E+04
 20.     0.132653047156E+04
 21.     0.138321109079E+04
 22.     0.150023497858E+04
 23.     0.152547719468E+04
 24.     0.159251509221E+04
