tag h15_e0_fine
elements       46080.
nodes      206401.
symmetry_nodes        2114.
interface_nodes       35298.
outer_nodes       35298.
mode f_Hz
  1.     0.112631036141E-02
  2.     0.134973656411E-02
  3.     0.197575462275E-02
  4.     0.774742319966E+02
  5.     0.127037787380E+03
  6.     0.184415317374E+03
  7.     0.295494237519E+03
  8.     0.322968276984E+03
  9.     0.493386662252E+03
 10.     0.507618625728E+03
 11.     0.590338214520E+03
 12.     0.694682123764E+03
 13.     0.772220791164E+03
 14.     0.824160250642E+03
 15.     0.925751893919E+03
 16.     0.106980741726E+04
 17.     0.118551480918E+04
 18.     0.118927820971E+04
 19.     0.139903987267E+04
 20.     0.141165844061E+04
 21.     0.147290592043E+04
 22.     0.151954791239E+04
 23.     0.159603427016E+04
 24.     0.162158822681E+04
