tag h15_sc_coarse
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.000000000000E+00
  3.     0.000000000000E+00
  4.     0.774872222580E+02
  5.     0.127049447794E+03
  6.     0.184446157606E+03
  7.     0.295572993104E+03
  8.     0.323043088662E+03
  9.     0.493540413262E+03
 10.     0.507710380755E+03
 11.     0.590411392092E+03
 12.     0.694961825487E+03
 13.     0.772400641816E+03
 14.     0.824593019857E+03
 15.     0.926220138048E+03
 16.     0.107009388692E+04
 17.     0.118625280500E+04
 18.     0.118958980133E+04
 19.     0.139947975279E+04
 20.     0.141204955422E+04
 21.     0.147401651760E+04
 22.     0.151958326263E+04
 23.     0.159649806524E+04
 24.     0.162263260521E+04
