tag h15_sc_fine
elements       46080.
nodes      206401.
symmetry_nodes        2114.
interface_nodes       35298.
outer_nodes       35298.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.711462827802E-03
  3.     0.121918098470E-02
  4.     0.774753777461E+02
  5.     0.127047126951E+03
  6.     0.184418910303E+03
  7.     0.295514818565E+03
  8.     0.322976197252E+03
  9.     0.493400811480E+03
 10.     0.507655014873E+03
 11.     0.590374617124E+03
 12.     0.694704499832E+03
 13.     0.772272906146E+03
 14.     0.824210275038E+03
 15.     0.925784635830E+03
 16.     0.106987851245E+04
 17.     0.118556022202E+04
 18.     0.118936684621E+04
 19.     0.139913379340E+04
 20.     0.141175420672E+04
 21.     0.147296649601E+04
 22.     0.151954791319E+04
 23.     0.159615737308E+04
 24.     0.162169122589E+04
