ls,sb,freq_Hz,Ire,Iim,Yabs
  1.,  1.,  0.11854857E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1.,  2.,  0.11859714E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1.,  3.,  0.11864571E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1.,  4.,  0.11869429E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1.,  5.,  0.11874286E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1.,  6.,  0.11879143E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1.,  7.,  0.11884000E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1.,  8.,  0.11888857E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1.,  9.,  0.11893714E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 10.,  0.11898571E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 11.,  0.11903429E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 12.,  0.11908286E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 13.,  0.11913143E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 14.,  0.11918000E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 15.,  0.11922857E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 16.,  0.11927714E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 17.,  0.11932571E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 18.,  0.11937429E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 19.,  0.11942286E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 20.,  0.11947143E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 21.,  0.11952000E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 22.,  0.11956857E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 23.,  0.11961714E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 24.,  0.11966571E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 25.,  0.11971429E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 26.,  0.11976286E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 27.,  0.11981143E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 28.,  0.11986000E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 29.,  0.11990857E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 30.,  0.11995714E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 31.,  0.12000571E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 32.,  0.12005429E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 33.,  0.12010286E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 34.,  0.12015143E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  1., 35.,  0.12020000E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  2.,  1.,  0.80000000E+02,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
  3.,  1.,  0.14000000E+03,  0.12779547E-27,  0.12779547E-27,  0.18073008E-27
