ls,sb,freq_Hz,Qre,Qim,Yabs
  1.,  1.,  0.11854857E+03, -0.22750529E-01,  0.57649593E-03,  0.16951459E+02
  1.,  2.,  0.11859714E+03, -0.25617709E-01,  0.86657670E-03,  0.19100411E+02
  1.,  3.,  0.11864571E+03, -0.30148896E-01,  0.14467111E-02,  0.22501049E+02
  1.,  4.,  0.11869429E+03, -0.38363351E-01,  0.28844499E-02,  0.28691307E+02
  1.,  5.,  0.11874286E+03, -0.57592051E-01,  0.82906679E-02,  0.43411408E+02
  1.,  6.,  0.11879143E+03, -0.13463864E+00,  0.75547314E-01,  0.11523176E+03
  1.,  7.,  0.11884000E+03,  0.88606217E-01,  0.40445204E-01,  0.72728416E+02
  1.,  8.,  0.11888857E+03,  0.32018924E-01,  0.64422732E-02,  0.24397428E+02
  1.,  9.,  0.11893714E+03,  0.16189599E-01,  0.24701259E-02,  0.12238565E+02
  1., 10.,  0.11898571E+03,  0.89727462E-02,  0.12926110E-02,  0.67773583E+01
  1., 11.,  0.11903429E+03,  0.48599766E-02,  0.79263327E-03,  0.36828725E+01
  1., 12.,  0.11908286E+03,  0.22063777E-02,  0.53510648E-03,  0.16987127E+01
  1., 13.,  0.11913143E+03,  0.35332226E-03,  0.38534418E-03,  0.39133374E+00
  1., 14.,  0.11918000E+03, -0.10136373E-02,  0.29066334E-03,  0.78963260E+00
  1., 15.,  0.11922857E+03, -0.20634546E-02,  0.22703426E-03,  0.15551350E+01
  1., 16.,  0.11927714E+03, -0.28949588E-02,  0.18223071E-03,  0.21738932E+01
  1., 17.,  0.11932571E+03, -0.35698008E-02,  0.14949983E-03,  0.26787884E+01
  1., 18.,  0.11937429E+03, -0.41284282E-02,  0.12486519E-03,  0.30979467E+01
  1., 19.,  0.11942286E+03, -0.45984691E-02,  0.10586212E-03,  0.34514028E+01
  1., 20.,  0.11947143E+03, -0.49994412E-02,  0.90896922E-04,  0.37535064E+01
  1., 21.,  0.11952000E+03, -0.53455213E-02,  0.78902129E-04,  0.40147437E+01
  1., 22.,  0.11956857E+03, -0.56472573E-02,  0.69140939E-04,  0.42429414E+01
  1., 23.,  0.11961714E+03, -0.59126578E-02,  0.61091561E-04,  0.44440529E+01
  1., 24.,  0.11966571E+03, -0.61479111E-02,  0.54376147E-04,  0.46226836E+01
  1., 25.,  0.11971429E+03, -0.63578771E-02,  0.48715574E-04,  0.47824532E+01
  1., 26.,  0.11976286E+03, -0.65464246E-02,  0.43900062E-04,  0.49262444E+01
  1., 27.,  0.11981143E+03, -0.67166713E-02,  0.39769501E-04,  0.50563813E+01
  1., 28.,  0.11986000E+03, -0.68711585E-02,  0.36199950E-04,  0.51747591E+01
  1., 29.,  0.11990857E+03, -0.70119766E-02,  0.33094312E-04,  0.52829365E+01
  1., 30.,  0.11995714E+03, -0.71408635E-02,  0.30375579E-04,  0.53822100E+01
  1., 31.,  0.12000571E+03, -0.72592730E-02,  0.27982113E-04,  0.54736642E+01
  1., 32.,  0.12005429E+03, -0.73684331E-02,  0.25864050E-04,  0.55582152E+01
  1., 33.,  0.12010286E+03, -0.74693868E-02,  0.23980734E-04,  0.56366413E+01
  1., 34.,  0.12015143E+03, -0.75630256E-02,  0.22298747E-04,  0.57096077E+01
  1., 35.,  0.12020000E+03, -0.76501168E-02,  0.20790402E-04,  0.57776870E+01
  2.,  1.,  0.80000000E+02, -0.10142067E-01,  0.50418125E-06,  0.50979591E+01
  3.,  1.,  0.14000000E+03, -0.98957896E-02,  0.54155978E-06,  0.87047912E+01
