ls,sb,freq_Hz,Qre,Qim,Yabs
  1.,  1.,  0.11855000E+03, -0.10101494E+00,  0.40482377E-02,  0.75303557E+02
  1.,  2.,  0.11860000E+03, -0.12182501E+00,  0.61261992E-02,  0.90896973E+02
  1.,  3.,  0.11865000E+03, -0.15499063E+00,  0.10335395E-01,  0.11580212E+03
  1.,  4.,  0.11870000E+03, -0.21599526E+00,  0.21003477E-01,  0.16185214E+03
  1.,  5.,  0.11875000E+03, -0.36326641E+00,  0.63184289E-01,  0.27511271E+03
  1.,  6.,  0.11880000E+03, -0.97729860E+00,  0.70154082E+00,  0.89798979E+03
  1.,  7.,  0.11885000E+03,  0.62857694E+00,  0.22573221E+00,  0.49874395E+03
  1.,  8.,  0.11890000E+03,  0.27283794E+00,  0.40221650E-01,  0.20603219E+03
  1.,  9.,  0.11895000E+03,  0.16898890E+00,  0.15938035E-01,  0.12686023E+03
  1., 10.,  0.11900000E+03,  0.12060750E+00,  0.84679573E-02,  0.90400108E+02
  1., 11.,  0.11905000E+03,  0.92719724E-01,  0.52375581E-02,  0.69466144E+02
  1., 12.,  0.11910000E+03,  0.74599778E-01,  0.35552981E-02,  0.55888418E+02
  1., 13.,  0.11915000E+03,  0.61886259E-01,  0.25698054E-02,  0.46370550E+02
  1., 14.,  0.11920000E+03,  0.52475700E-01,  0.19434958E-02,  0.39328919E+02
  1., 15.,  0.11925000E+03,  0.45229791E-01,  0.15209314E-02,  0.33908474E+02
  1., 16.,  0.11930000E+03,  0.39479083E-01,  0.12224726E-02,  0.29607073E+02
  1., 17.,  0.11935000E+03,  0.34804269E-01,  0.10038982E-02,  0.26110513E+02
  1., 18.,  0.11940000E+03,  0.30929362E-01,  0.83905865E-03,  0.23212126E+02
  1., 19.,  0.11945000E+03,  0.27665300E-01,  0.71168799E-03,  0.20770409E+02
  1., 20.,  0.11950000E+03,  0.24878238E-01,  0.61123887E-03,  0.18685229E+02
  1., 21.,  0.11955000E+03,  0.22470763E-01,  0.53062924E-03,  0.16883727E+02
  1., 22.,  0.11960000E+03,  0.20370282E-01,  0.46496068E-03,  0.15311622E+02
  1., 23.,  0.11965000E+03,  0.18521614E-01,  0.41075851E-03,  0.13927660E+02
  1., 24.,  0.11970000E+03,  0.16882038E-01,  0.36550173E-03,  0.12699911E+02
  1., 25.,  0.11975000E+03,  0.15417992E-01,  0.32732608E-03,  0.11603288E+02
  1., 26.,  0.11980000E+03,  0.14102716E-01,  0.29482843E-03,  0.10617795E+02
  1., 27.,  0.11985000E+03,  0.12914642E-01,  0.26693695E-03,  0.97273157E+01
  1., 28.,  0.11990000E+03,  0.11836164E-01,  0.24282098E-03,  0.89186970E+01
  1., 29.,  0.11995000E+03,  0.10852790E-01,  0.22182904E-03,  0.81811100E+01
  1., 30.,  0.12000000E+03,  0.99524730E-02,  0.20344432E-03,  0.75055555E+01
  1., 31.,  0.12005000E+03,  0.91251192E-02,  0.18725262E-03,  0.68844936E+01
  1., 32.,  0.12010000E+03,  0.83622018E-02,  0.17291870E-03,  0.63115547E+01
  1., 33.,  0.12015000E+03,  0.76564797E-02,  0.16016913E-03,  0.57813303E+01
  1., 34.,  0.12020000E+03,  0.70017487E-02,  0.14877884E-03,  0.52891865E+01
  1., 35.,  0.12025000E+03,  0.63926817E-02,  0.13856152E-03,  0.48311445E+01
  1., 36.,  0.12030000E+03,  0.58246586E-02,  0.12936153E-03,  0.44037540E+01
  1., 37.,  0.12035000E+03,  0.52936679E-02,  0.12104831E-03,  0.40040193E+01
  1., 38.,  0.12040000E+03,  0.47962025E-02,  0.11351156E-03,  0.36293217E+01
  1., 39.,  0.12045000E+03,  0.43291829E-02,  0.10665757E-03,  0.32773617E+01
  1., 40.,  0.12050000E+03,  0.38899001E-02,  0.10040641E-03,  0.29461170E+01
  1., 41.,  0.12055000E+03,  0.34759531E-02,  0.94689465E-04,  0.26337957E+01
  1., 42.,  0.12060000E+03,  0.30852123E-02,  0.89447620E-04,  0.23388086E+01
  1., 43.,  0.12065000E+03,  0.27157796E-02,  0.84629716E-04,  0.20597404E+01
  1., 44.,  0.12070000E+03,  0.23659571E-02,  0.80191273E-04,  0.17953260E+01
  1., 45.,  0.12075000E+03,  0.20342250E-02,  0.76093524E-04,  0.15444350E+01
  1., 46.,  0.12080000E+03,  0.17192153E-02,  0.72302509E-04,  0.13060529E+01
  1., 47.,  0.12085000E+03,  0.14196946E-02,  0.68788402E-04,  0.10792714E+01
  1., 48.,  0.12090000E+03,  0.11345481E-02,  0.65524909E-04,  0.86328103E+00
  1., 49.,  0.12095000E+03,  0.86276495E-03,  0.62488779E-04,  0.65737682E+00
  1., 50.,  0.12100000E+03,  0.60342806E-03,  0.59659412E-04,  0.46100220E+00
  1., 51.,  0.12105000E+03,  0.35570130E-03,  0.57018470E-04,  0.27399294E+00
  1., 52.,  0.12110000E+03,  0.11882253E-03,  0.54549614E-04,  0.99483628E-01
  1., 53.,  0.12115000E+03, -0.10790647E-03,  0.52238224E-04,  0.91258121E-01
  1., 54.,  0.12120000E+03, -0.32512321E-03,  0.50071217E-04,  0.25050746E+00
  1., 55.,  0.12125000E+03, -0.53341520E-03,  0.48036821E-04,  0.40801953E+00
  1., 56.,  0.12130000E+03, -0.73331966E-03,  0.46124465E-04,  0.56000432E+00
