tag liu_disk_sc_C
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.143592309884E+03
  2.     0.315687379069E+03
  3.     0.486636566424E+03
  4.     0.554485085527E+03
  5.     0.708827133592E+03
  6.     0.873908447722E+03
  7.     0.962888000625E+03
  8.     0.116566721945E+04
  9.     0.122718551920E+04
 10.     0.124736983409E+04
 11.     0.151999898118E+04
 12.     0.156090976083E+04
 13.     0.168521406791E+04
 14.     0.190221283020E+04
 15.     0.190480989366E+04
 16.     0.208604167384E+04
 17.     0.214424037284E+04
 18.     0.227003911227E+04
 19.     0.231843724294E+04
 20.     0.255938289187E+04
 21.     0.266319571013E+04
 22.     0.272987601032E+04
 23.     0.275928037041E+04
 24.     0.295020571445E+04
 25.     0.305994516260E+04
 26.     0.308053246194E+04
 27.     0.322581113181E+04
 28.     0.322914408982E+04
 29.     0.328509958962E+04
 30.     0.352094000187E+04
