tag liu_disk_sc_S
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.692576810871E+02
  2.     0.208402550994E+03
  3.     0.356969008011E+03
  4.     0.415014125552E+03
  5.     0.554456009778E+03
  6.     0.639936855467E+03
  7.     0.701071142746E+03
  8.     0.785059395563E+03
  9.     0.969316663587E+03
 10.     0.102540545316E+04
 11.     0.104718410280E+04
 12.     0.129918234919E+04
 13.     0.133940604639E+04
 14.     0.145249060510E+04
 15.     0.166040487712E+04
 16.     0.166143249810E+04
 17.     0.183179058852E+04
 18.     0.185897572536E+04
 19.     0.188650802854E+04
 20.     0.200892965514E+04
 21.     0.205417556560E+04
 22.     0.228297228927E+04
 23.     0.230764785053E+04
 24.     0.238378071935E+04
 25.     0.244500919892E+04
 26.     0.247566578877E+04
 27.     0.274205623661E+04
 28.     0.276351028337E+04
 29.     0.278380038751E+04
 30.     0.285386145347E+04
