tag liu_disk_sc_C
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.143583139945E+03
  2.     0.297815292114E+03
  3.     0.486612315375E+03
  4.     0.554406000590E+03
  5.     0.708827128960E+03
  6.     0.843377788839E+03
  7.     0.962888000140E+03
  8.     0.116558417582E+04
  9.     0.122693039480E+04
 10.     0.124736983407E+04
 11.     0.151999895340E+04
 12.     0.156090976083E+04
 13.     0.164141386708E+04
 14.     0.190221283020E+04
 15.     0.190480988894E+04
 16.     0.208585032522E+04
 17.     0.214366305947E+04
 18.     0.227003911227E+04
 19.     0.231843724262E+04
 20.     0.255938279542E+04
 21.     0.262430093535E+04
 22.     0.266319571013E+04
 23.     0.267343040342E+04
 24.     0.275928037040E+04
 25.     0.305994513919E+04
 26.     0.308053246194E+04
 27.     0.322581113181E+04
 28.     0.322878909815E+04
 29.     0.328403086984E+04
 30.     0.352094000187E+04
