tag liu_disk_sc_S
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.692535580686E+02
  2.     0.194473706870E+03
  3.     0.356953743120E+03
  4.     0.414962300972E+03
  5.     0.446519065494E+03
  6.     0.554456007245E+03
  7.     0.673839215359E+03
  8.     0.785059395322E+03
  9.     0.969252931140E+03
 10.     0.102520808249E+04
 11.     0.104718410279E+04
 12.     0.129918233013E+04
 13.     0.133940604639E+04
 14.     0.141185053861E+04
 15.     0.166040487712E+04
 16.     0.166143249515E+04
 17.     0.183163122834E+04
 18.     0.185873430912E+04
 19.     0.188602581743E+04
 20.     0.200892965514E+04
 21.     0.205417556541E+04
 22.     0.228297221582E+04
 23.     0.237052732382E+04
 24.     0.238378071935E+04
 25.     0.239138254318E+04
 26.     0.247566578876E+04
 27.     0.274192522839E+04
 28.     0.276351026677E+04
 29.     0.278380038751E+04
 30.     0.285398039542E+04
