tag h15_oc_fine
elements       46080.
nodes      206401.
symmetry_nodes        2114.
interface_nodes       35298.
outer_nodes       35298.
mode f_Hz
  1.     0.896539746279E-03
  2.     0.943518050291E-03
  3.     0.193121332333E-02
  4.     0.774824391744E+02
  5.     0.132185126737E+03
  6.     0.184440808896E+03
  7.     0.295641504039E+03
  8.     0.323023898596E+03
  9.     0.493484868246E+03
 10.     0.507876427098E+03
 11.     0.601797046262E+03
 12.     0.694835388987E+03
 13.     0.772584933156E+03
 14.     0.824508577973E+03
 15.     0.925972915049E+03
 16.     0.107029649770E+04
 17.     0.118581656806E+04
 18.     0.118988635087E+04
 19.     0.139967518200E+04
 20.     0.141562629639E+04
 21.     0.147330172445E+04
 22.     0.151954791743E+04
 23.     0.159686351271E+04
 24.     0.162227868781E+04
