tag h15_sc_coarse
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.000000000000E+00
  3.     0.000000000000E+00
  4.     0.774942827895E+02
  5.     0.127107498789E+03
  6.     0.184468083394E+03
  7.     0.295699786290E+03
  8.     0.323090877586E+03
  9.     0.493624662118E+03
 10.     0.507931790824E+03
 11.     0.590632349318E+03
 12.     0.695093071169E+03
 13.     0.772712611925E+03
 14.     0.824892031386E+03
 15.     0.926409013284E+03
 16.     0.107051184307E+04
 17.     0.118651007624E+04
 18.     0.119010978575E+04
 19.     0.140002116192E+04
 20.     0.141260556715E+04
 21.     0.147435310397E+04
 22.     0.151958327034E+04
 23.     0.159720412768E+04
 24.     0.162322113249E+04
