tag h15_sc_fine
elements       46080.
nodes      206401.
symmetry_nodes        2114.
interface_nodes       35298.
outer_nodes       35298.
mode f_Hz
  1.     0.513062316036E-03
  2.     0.107620206212E-02
  3.     0.191745903772E-02
  4.     0.774824391711E+02
  5.     0.127105115537E+03
  6.     0.184440808895E+03
  7.     0.295641504042E+03
  8.     0.323023898593E+03
  9.     0.493484868243E+03
 10.     0.507876427099E+03
 11.     0.590595400364E+03
 12.     0.694835388972E+03
 13.     0.772584933139E+03
 14.     0.824508577976E+03
 15.     0.925972915048E+03
 16.     0.107029649769E+04
 17.     0.118581656808E+04
 18.     0.118988635084E+04
 19.     0.139967518200E+04
 20.     0.141231007122E+04
 21.     0.147330172445E+04
 22.     0.151954791742E+04
 23.     0.159686351241E+04
 24.     0.162227868782E+04
