ls,sb,freq_Hz,Qre,Qim,Yabs
  1.,  1.,  0.11854857E+03, -0.10053387E+00,  0.40053063E-02,  0.74943327E+02
  1.,  2.,  0.11859714E+03, -0.12038223E+00,  0.59681774E-02,  0.89815135E+02
  1.,  3.,  0.11864571E+03, -0.15139677E+00,  0.98256789E-02,  0.11309965E+03
  1.,  4.,  0.11869429E+03, -0.20656084E+00,  0.19102416E-01,  0.15470590E+03
  1.,  5.,  0.11874286E+03, -0.33082898E+00,  0.51803815E-01,  0.24983374E+03
  1.,  6.,  0.11879143E+03, -0.80009166E+00,  0.37612631E+00,  0.65987573E+03
  1.,  7.,  0.11884000E+03,  0.80613153E+00,  0.41058775E+00,  0.67551247E+03
  1.,  8.,  0.11888857E+03,  0.31548278E+00,  0.53606591E-01,  0.23904322E+03
  1.,  9.,  0.11893714E+03,  0.18774562E+00,  0.19480029E-01,  0.14105627E+03
  1., 10.,  0.11898571E+03,  0.13156114E+00,  0.99508014E-02,  0.98637273E+02
  1., 11.,  0.11903429E+03,  0.10011817E+00,  0.60185928E-02,  0.75015011E+02
  1., 12.,  0.11908286E+03,  0.80050977E-01,  0.40270112E-02,  0.59971455E+02
  1., 13.,  0.11913143E+03,  0.66139424E-01,  0.28816454E-02,  0.49553969E+02
  1., 14.,  0.11918000E+03,  0.55930388E-01,  0.21632379E-02,  0.41913669E+02
  1., 15.,  0.11922857E+03,  0.48120463E-01,  0.16832886E-02,  0.36070782E+02
  1., 16.,  0.11927714E+03,  0.41953430E-01,  0.13468887E-02,  0.31457794E+02
  1., 17.,  0.11932571E+03,  0.36960450E-01,  0.11020337E-02,  0.27723249E+02
  1., 18.,  0.11937429E+03,  0.32835537E-01,  0.91829803E-03,  0.24637949E+02
  1., 19.,  0.11942286E+03,  0.29370511E-01,  0.77691926E-03,  0.22046046E+02
  1., 20.,  0.11947143E+03,  0.26418800E-01,  0.66581679E-03,  0.19837863E+02
  1., 21.,  0.11952000E+03,  0.23874225E-01,  0.57692759E-03,  0.17933973E+02
  1., 22.,  0.11956857E+03,  0.21658013E-01,  0.50470453E-03,  0.16275465E+02
  1., 23.,  0.11961714E+03,  0.19710463E-01,  0.44522897E-03,  0.14817703E+02
  1., 24.,  0.11966571E+03,  0.17985530E-01,  0.39566999E-03,  0.13526266E+02
  1., 25.,  0.11971429E+03,  0.16447113E-01,  0.35394060E-03,  0.12374170E+02
  1., 26.,  0.11976286E+03,  0.15066512E-01,  0.31847508E-03,  0.11339966E+02
  1., 27.,  0.11981143E+03,  0.13820637E-01,  0.28808054E-03,  0.10406399E+02
  1., 28.,  0.11986000E+03,  0.12690683E-01,  0.26183483E-03,  0.95594202E+01
  1., 29.,  0.11990857E+03,  0.11661195E-01,  0.23901635E-03,  0.87874804E+01
  1., 30.,  0.11995714E+03,  0.10719343E-01,  0.21905368E-03,  0.80809948E+01
  1., 31.,  0.12000571E+03,  0.98544009E-02,  0.20148982E-03,  0.74319501E+01
  1., 32.,  0.12005429E+03,  0.90573122E-02,  0.18595546E-03,  0.68335816E+01
  1., 33.,  0.12010286E+03,  0.83203957E-02,  0.17214978E-03,  0.62801516E+01
  1., 34.,  0.12015143E+03,  0.76370918E-02,  0.15982579E-03,  0.57667603E+01
  1., 35.,  0.12020000E+03,  0.70017487E-02,  0.14877884E-03,  0.52891865E+01
  2.,  1.,  0.80000000E+02, -0.11102251E-01,  0.80322561E-06,  0.55806001E+01
  3.,  1.,  0.14000000E+03, -0.93194847E-02,  0.10741600E-05,  0.81978470E+01
