tag liu_disk_sc_C
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.143592563373E+03
  2.     0.297834925838E+03
  3.     0.486644580781E+03
  4.     0.554442801037E+03
  5.     0.708874446309E+03
  6.     0.843434261857E+03
  7.     0.962952786036E+03
  8.     0.116566299640E+04
  9.     0.122701342200E+04
 10.     0.124745450729E+04
 11.     0.152010284587E+04
 12.     0.156101675587E+04
 13.     0.164152634946E+04
 14.     0.190234460671E+04
 15.     0.190494162750E+04
 16.     0.208599520121E+04
 17.     0.214381199291E+04
 18.     0.227019816237E+04
 19.     0.231859963002E+04
 20.     0.255956308329E+04
 21.     0.262430103136E+04
 22.     0.266338456408E+04
 23.     0.267361912815E+04
 24.     0.275947624881E+04
 25.     0.306016395685E+04
 26.     0.308075369255E+04
 27.     0.322604338781E+04
 28.     0.322902082938E+04
 29.     0.328426652609E+04
 30.     0.352119622783E+04
