tag liu_disk_sc_S
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.692603325609E+02
  2.     0.194488891152E+03
  3.     0.356980284573E+03
  4.     0.414992700891E+03
  5.     0.446519077534E+03
  6.     0.554496595890E+03
  7.     0.673887938765E+03
  8.     0.785116641307E+03
  9.     0.969322976299E+03
 10.     0.102528199409E+04
 11.     0.104726057999E+04
 12.     0.129927664501E+04
 13.     0.133950431699E+04
 14.     0.141195287311E+04
 15.     0.166052750637E+04
 16.     0.166155401699E+04
 17.     0.183176516245E+04
 18.     0.185873431775E+04
 19.     0.188616361132E+04
 20.     0.200907922144E+04
 21.     0.205432722364E+04
 22.     0.228314093969E+04
 23.     0.237052733678E+04
 24.     0.238395982179E+04
 25.     0.239155933791E+04
 26.     0.247585052237E+04
 27.     0.274192522901E+04
 28.     0.276371701551E+04
 29.     0.278401165151E+04
 30.     0.285398039602E+04
