case          s  e31   FE split %   model split %   FE/model   verdict
P4 FF 1/12   1  +4.1     0.27953      0.27911    1.0015    ok (control)
P4 FF 1/12   1  -4.1     1.94385      1.94432    0.9998    ok
P4 FF 1/12   2  +4.1     0.12677      0.12688    0.9991    ok (control)
P4 FF 1/12   2  -4.1     0.90090      0.90329    0.9974    ok
P4 FF 1/8    1  +4.1     0.40469      0.40296    1.0043    ok (control)
P4 FF 1/8    1  -4.1     2.76621      2.76008    1.0022    ok
P4 FF 1/8    2  +4.1     0.18352      0.18278    1.0041    ok (control)
P4 FF 1/8    2  -4.1     1.29401      1.29133    1.0021    ok
P4 FF 1/5    1  +4.1     0.60019      0.59363    1.0110    ok (control)
P4 FF 1/5    1  -4.1     3.99527      3.96054    1.0088    ok
P4 FF 1/5    2  +4.1     0.27216      0.26780    1.0163    ok (control)
P4 FF 1/5    2  -4.1     1.89605      1.86897    1.0145    ok
P4 zp4 1/12  1  +4.1     0.27953      0.27911    1.0015    ok (control)
P4 zp4 1/12  1  -4.1     1.94380      1.94432    0.9997    ok
P4 zp4 1/12  2  +4.1     0.12677      0.12688    0.9991    ok (control)
P4 zp4 1/12  2  -4.1     0.90088      0.90329    0.9973    ok
P4 zp4 1/8   1  +4.1     0.40469      0.40296    1.0043    ok (control)
P4 zp4 1/8   1  -4.1     2.76612      2.76008    1.0022    ok
P4 zp4 1/8   2  +4.1     0.18352      0.18278    1.0041    ok (control)
P4 zp4 1/8   2  -4.1     1.29397      1.29133    1.0020    ok
P4 zp4 1/5   1  +4.1     0.60019      0.59363    1.0110    ok (control)
P4 zp4 1/5   1  -4.1     3.99512      3.96054    1.0087    ok
P4 zp4 1/5   2  +4.1     0.27216      0.26780    1.0163    ok (control)
P4 zp4 1/5   2  -4.1     1.89595      1.86897    1.0144    ok
P4 CF 1/12   1  +4.1     0.25926      0.26134    0.9920    ok (control)
P4 CF 1/12   1  -4.1     1.81058      1.81987    0.9949    ok
P5 FF scboth 1  +4.1     1.94200      1.93923    1.0014    ok (control)
P5 FF oc     1  +4.1     1.94200      1.93923    1.0014    ok (control)
P5 FF scboth 1  -4.1    12.42589     12.42246    1.0003    ok
P5 FF oc     1  -4.1    12.42589     12.42246    1.0003    ok

VERDICT (-4.1 rows, 3% bar): PASS
